township,township_en,township_mm,township_code_en,township_code_mm,state_code,state_en,state_mm,wiki_township_mm,wiki_township_en
AMARAPURA,A MA RA PU RA,အမရပူရ,AHMAYA,အမရ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,အမရပူရ,Amarapura
AYARTAW,A YAR TAW,အရာတော်,AHYATA,အရတ,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,အရာတော်,Ayadaw
AHLON,AHLON,အလုံ,AHLANA,အလန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,အလုံ,Ahlone
AHMAR,AHMAR,အမာ,AHMATA,အမတ,14,Ayeyarwady,ဧရာဝတီတိုင်းဒေသကြီး,အမာ,Ahmar
AN,AN,အမ်း,AHMANA,အမန,11,Rakhine,ရခိုင်ပြည်နယ်,အမ်း,Ann
AUNGLAN,AUNG LAN,အောင်လံ,AHLANA,အလန,8,Magway,မကွေးတိုင်းဒေသကြီး,အောင်လံ,Aunglan
AUNGMYETHARZAN,AUNG MYE THAR ZAN,အောင်မြေသာဇံ,AHMAZA,အမဇ,9,Mandalay,မန္တလေးတိုင်းဒေသကြီး,အောင်မြေသာဇံ,Aungmyaythazan
AUNGPAN,AUNG PAN,အောင်ပန်း,AHPANA,အပန,13,Shan,ရှမ်းပြည်နယ်,အောင်ပန်း,Aungpan
AYETHARYAR,AYE THAR YAR,အေးသာယာ,AHTHAYA,အသယ,13,Shan,ရှမ်းပြည်နယ်,အေးသာယာ,Ayetharyar
BAGO,BAGO,ပဲခူး,PAKHANA,ပခန,7,Bago,ပဲခူးတိုင်းဒေသကြီး,ပဲခူး,Bago
BAHAN,BAHAN,ဗဟန်း,BAHANA,ဗဟန,12,Yangon,ရန်ကုန်တိုင်းဒေသကြီး,ဗဟန်း,Bahan
BANMAUK,BAN MAUK,ဗန်းမောက်,BAMANA,ဗမန,5,Sagaing,စစ်ကိုင်းတိုင်းဒေသကြီး,ဗန်းမောက်,Banmauk
BAW GA LI,BAW GA LI,ဘော်ဂလိ,BAGALA,ဘဂလ,3,Kayin,ကရင်ပြည်နယ်,ဘောဂလိ,Baw Ga Li
BAWLAKHE,BAW LA KHE,ဘော်လခဲ,BALAKHA,ဘလခ,2,Kayah,ကယားပြည်နယ်,ဘောလခဲ,Baw La Khe
